industry,shcode,name,close,psy,bb_lower,ma5,ma20,ma60,macd_hist,rsi,volume_ratio,bullish_divergence,is_fully_matched,updated_at
"전기전자","005930","삼성전자",241000,25,239706,240030,239383,237765,125,31.5,92.9,true,false,"2026-08-11 12:58:46"
"IT부품/반도체","000660","SK하이닉스",1436000,16.7,1424512,1432082,1420327,1386044,450,29.2,73.2,true,false,"2026-08-11 12:58:46"
"바이오/제약","068270","셀트리온",210000,25,209453,209781,207813,205625,85,32,117.2,true,false,"2026-08-11 12:58:46"
"인공지능/피지컬AI","A0186L0","KoAct 미국로봇피지컬AI액티브",9780,25,9680,9920,9840,9529,15,30.5,52,true,false,"2026-08-11 12:58:46"
"우주항공/방산","A0167Z0","KODEX 미국우주항공",8475,33.3,7638,7638,7350,7130,-10,38.5,63.2,false,false,"2026-08-11 12:58:46"
"전력인프라","A475070","KoAct 글로벌친환경전력인프라액티브",31450,25,31155,31705,30406,29458,45,31,17.8,true,false,"2026-08-11 12:58:46"
"AI소프트웨어","A481180","SOL 미국AI소프트웨어",16740,25,16609,16797,16066,15460,28,29.8,46.2,true,false,"2026-08-11 12:58:46"
"빅테크/디지털","035420","NAVER",212250,16.7,210526,211758,209911,206833,110,28.5,57.5,true,false,"2026-08-11 12:58:46"
"자동차/모빌리티","005380","현대차",405000,25,402505,404168,399179,392526,160,33,43.6,true,false,"2026-08-11 12:58:46"
