industry,shcode,name,close,psy,bb_lower,ma5,ma20,ma60,macd_hist,rsi,volume_ratio,bullish_divergence,is_fully_matched,updated_at
"전기전자","005930","삼성전자",234000,25,232744,233058,232430,230859,125,31.5,18,true,false,"2026-08-10 00:47:28"
"IT부품/반도체","000660","SK하이닉스",1443000,16.7,1431456,1439063,1427251,1392800,450,29.2,19.6,true,false,"2026-08-10 00:47:28"
"바이오/제약","068270","셀트리온",198300,25,197784,198093,196234,194169,85,32,15.5,true,false,"2026-08-10 00:47:28"
"인공지능/피지컬AI","A0186L0","KoAct 미국로봇피지컬AI액티브",9745,25,9645,9885,9805,9495,15,30.5,53.7,true,false,"2026-08-10 00:47:28"
"우주항공/방산","A0167Z0","KODEX 미국우주항공",8855,33.3,7980,7980,7680,7450,-10,38.5,84.9,false,false,"2026-08-10 00:47:28"
"전력인프라","A475070","KoAct 글로벌친환경전력인프라액티브",31740,25,31443,31997,30687,29729,45,31,14.7,true,false,"2026-08-10 00:47:28"
"AI소프트웨어","A481180","SOL 미국AI소프트웨어",16280,25,16153,16336,15625,15036,28,29.8,50.9,true,false,"2026-08-10 00:47:28"
"빅테크/디지털","035420","NAVER",209500,16.7,207799,209014,207191,204153,110,28.5,8.1,true,false,"2026-08-10 00:47:28"
"자동차/모빌리티","005380","현대차",400000,25,397536,399179,394251,387680,160,33,18.5,true,false,"2026-08-10 00:47:28"
